2025-03-20 18:44:38,730 - INFO - SVDT1 Time: 31/08/2023 23:24:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 112, PM2.5: 0.4, PM10: 0.5, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:39,239 - INFO - SVDT1 Time: 31/08/2023 23:23:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 131, PM2.5: 0.6, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:39,749 - INFO - SVDT1 Time: 31/08/2023 23:22:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 104, PM2.5: 1, PM10: 1.6, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:40,256 - INFO - SVDT1 Time: 31/08/2023 23:21:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 109, PM2.5: 0.4, PM10: 0.5, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:40,763 - INFO - SVDT1 Time: 31/08/2023 23:20:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 106, PM2.5: 0.6, PM10: 0.6, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:41,271 - INFO - SVDT1 Time: 31/08/2023 23:19:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 96, PM2.5: 0.8, PM10: 1, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:41,778 - INFO - SVDT1 Time: 31/08/2023 23:18:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 91, PM2.5: 0.7, PM10: 3, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:42,288 - INFO - SVDT1 Time: 31/08/2023 23:17:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 89, PM2.5: 0.4, PM10: 0.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:42,796 - INFO - SVDT1 Time: 31/08/2023 23:16:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 129, PM2.5: 0.4, PM10: 0.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:43,305 - INFO - SVDT1 Time: 31/08/2023 23:15:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 104, PM2.5: 0.6, PM10: 0.6, CO: 2, NOx: 0, SO2: 0
